time	d_stereo	d_prop	d_filter	velo	acc	status
1526670409.140489	100.000000	100.000000	89.490964	369.637400	0.000000	0
1526670409.284550	100.000000	100.000000	93.936094	30.856992	0.000000	0
1526670409.374686	100.000000	100.000000	95.825537	20.963741	0.000000	0
1526670409.466263	100.000000	100.000000	96.892429	11.651087	0.000000	0
1526670409.556508	100.000000	100.000000	97.586832	7.695413	0.000000	0
1526670409.655853	100.000000	100.000000	98.078354	4.948131	0.000000	0
1526670409.746818	100.000000	100.000000	98.445358	4.034825	0.000000	0
1526670409.836828	100.000000	100.000000	98.729243	3.154133	0.000000	0
1526670409.925553	100.000000	100.000000	98.954137	2.534951	0.000000	0
1526670410.012520	100.000000	100.000000	99.135229	2.082476	0.000000	0
1526670410.101443	100.000000	100.000000	99.282699	1.658547	0.000000	0
1526670410.189064	100.000000	100.000000	99.403725	1.381372	0.000000	0
1526670410.278272	100.000000	100.000000	99.503586	1.119512	0.000000	0
1526670410.367295	100.000000	100.000000	99.586294	0.929192	0.000000	0
1526670410.458079	100.000000	100.000000	99.654972	0.756549	0.000000	0
1526670410.544977	100.000000	100.000000	99.712105	0.657518	0.000000	0
1526670410.634211	100.000000	100.000000	99.759694	0.533342	0.000000	0
1526670410.724783	100.000000	100.000000	99.799367	0.438066	0.000000	0
1526670410.816946	100.000000	100.000000	99.832463	0.359120	0.000000	0
1526670410.914188	100.000000	100.000000	99.860082	0.284048	0.000000	0
1526670411.004344	100.000000	100.000000	99.883139	0.255761	0.000000	0
1526670411.101801	100.000000	100.000000	99.902390	0.197553	0.000000	0
1526670411.193034	100.000000	100.000000	99.918467	0.176239	0.000000	0
1526670411.296575	100.000000	100.000000	99.931894	0.129685	0.000000	0
1526670411.385896	100.000000	100.000000	99.943109	0.125565	0.000000	0
1526670411.476067	100.000000	100.000000	99.952476	0.103894	0.000000	0
1526670411.567899	100.000000	100.000000	99.960301	0.085212	0.000000	0
1526670411.658660	100.000000	100.000000	99.966837	0.072019	0.000000	0
1526670411.747656	100.000000	100.000000	99.972297	0.061354	0.000000	0
1526670411.836982	100.000000	100.000000	99.976858	0.051067	0.000000	0
1526670411.926019	100.000000	100.000000	99.980668	0.042794	0.000000	0
1526670412.015809	100.000000	100.000000	99.983850	0.035449	0.000000	0
1526670412.103505	100.000000	100.000000	99.986509	0.030321	0.000000	0
1526670412.193952	100.000000	100.000000	99.988730	0.024558	0.000000	0
1526670412.283705	100.000000	100.000000	99.990585	0.020673	0.000000	0
1526670412.383947	100.000000	100.000000	99.992135	0.015464	0.000000	0
1526670412.474720	100.000000	100.000000	99.993430	0.014264	0.000000	0
1526670412.572487	100.000000	100.000000	99.994512	0.011064	0.000000	0
1526670412.662557	100.000000	100.000000	99.995415	0.010032	0.000000	0
1526670412.760285	100.000000	100.000000	99.996170	0.007724	0.000000	0
1526670412.849418	100.000000	100.000000	99.996801	0.007075	0.000000	0
1526670412.947631	100.000000	100.000000	99.997327	0.005363	0.000000	0
1526670413.038056	100.000000	100.000000	99.997767	0.004866	0.000000	0
1526670413.134111	100.000000	100.000000	99.998135	0.003827	0.000000	0
1526670413.222992	100.000000	100.000000	99.998442	0.003455	0.000000	0
1526670413.313688	100.000000	100.000000	99.998698	0.002828	0.000000	0
1526670413.402053	100.000000	100.000000	99.998913	0.002425	0.000000	0
1526670413.494510	100.000000	100.000000	99.999092	0.001936	0.000000	0
1526670413.581201	100.000000	100.000000	99.999241	0.001725	0.000000	0
1526670413.669350	100.000000	100.000000	99.999366	0.001417	0.000000	0
1526670413.757153	100.000000	100.000000	99.999470	0.001189	0.000000	0
1526670413.843292	100.000000	100.000000	99.999558	0.001012	0.000000	0
1526670413.931306	100.000000	100.000000	99.999630	0.000827	0.000000	0
1526670414.019530	100.000000	100.000000	99.999691	0.000690	0.000000	0
1526670414.108194	100.000000	100.000000	99.999742	0.000573	0.000000	0
1526670414.204885	100.000000	100.000000	99.999785	0.000439	0.000000	0
1526670414.294743	100.000000	100.000000	99.999820	0.000395	0.000000	0
1526670414.392261	100.000000	100.000000	99.999850	0.000304	0.000000	0
1526670414.480716	100.000000	100.000000	99.999874	0.000280	0.000000	0
1526670414.576430	100.000000	100.000000	99.999895	0.000216	0.000000	0
1526670414.665300	100.000000	100.000000	99.999912	0.000194	0.000000	0
1526670414.755057	100.000000	100.000000	99.999927	0.000161	0.000000	0
1526670414.844681	100.000000	100.000000	99.999939	0.000134	0.000000	0
1526670414.933357	100.000000	100.000000	99.999949	0.000114	0.000000	0
1526670415.021130	100.000000	100.000000	99.999957	0.000096	0.000000	0
1526670415.108181	100.000000	100.000000	99.999964	0.000081	0.000000	0
1526670415.196731	100.000000	100.000000	99.999970	0.000066	0.000000	0
1526670415.284256	100.000000	100.000000	99.999975	0.000056	0.000000	0
1526670415.371961	100.000000	100.000000	99.999979	0.000047	0.000000	0
1526670415.466831	100.000000	100.000000	99.999983	0.000036	0.000000	0
1526670415.556821	100.000000	100.000000	99.999985	0.000032	0.000000	0
1526670415.649149	100.000000	100.000000	99.999988	0.000026	0.000000	0
1526670415.738685	100.000000	100.000000	99.999990	0.000022	0.000000	0
1526670415.835754	100.000000	100.000000	99.999992	0.000017	0.000000	0
1526670415.927001	100.000000	100.000000	99.999993	0.000015	0.000000	0
1526670416.027680	100.000000	100.000000	99.999994	0.000012	0.000000	0
1526670416.118907	100.000000	100.000000	99.999995	0.000011	0.000000	0
1526670416.216035	100.000000	100.000000	99.999996	0.000008	0.000000	0
1526670416.304645	100.000000	100.000000	99.999997	0.000008	0.000000	0
1526670416.396454	100.000000	100.000000	99.999997	0.000006	0.000000	0
1526670416.483210	100.000000	100.000000	99.999998	0.000005	0.000000	0
1526670416.572617	100.000000	100.000000	99.999998	0.000004	0.000000	0
1526670416.662959	100.000000	100.000000	99.999998	0.000004	0.000000	0
1526670416.749647	100.000000	100.000000	99.999999	0.000003	0.000000	0
1526670416.838042	100.000000	100.000000	99.999999	0.000003	0.000000	0
1526670416.925652	100.000000	100.000000	99.999999	0.000002	0.000000	0
1526670417.012341	100.000000	100.000000	99.999999	0.000002	0.000000	0
1526670417.098706	100.000000	100.000000	99.999999	0.000002	0.000000	0
1526670417.188200	100.000000	100.000000	99.999999	0.000001	0.000000	0
1526670417.278378	100.000000	100.000000	100.000000	0.000001	0.000000	0
1526670417.370572	100.000000	100.000000	100.000000	0.000001	0.000000	0
1526670417.467159	100.000000	100.000000	100.000000	0.000001	0.000000	0
1526670417.556496	100.000000	100.000000	100.000000	0.000001	0.000000	0
1526670417.652488	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670417.741162	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670417.841184	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670417.929033	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.017400	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.109153	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.195226	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.283471	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.373058	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.464606	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.553134	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.639060	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.729814	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.817846	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.907203	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670418.996055	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.092087	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.179101	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.275370	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.369175	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.467459	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.555527	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.642931	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.730600	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.816925	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.904047	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670419.990385	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.077969	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.168562	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.258154	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.345876	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.434263	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.525124	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.612582	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.710780	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.803277	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.898865	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670420.987048	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.083587	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.173557	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.265963	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.354899	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.444061	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.532407	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.619125	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.708449	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.797058	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.887315	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670421.975295	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.065616	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.154821	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.244079	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.340933	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.431309	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.527783	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.617182	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.713567	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.803579	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.892200	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670422.979173	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.070502	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.172325	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.267689	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.365894	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.466455	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.567434	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.665397	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.758822	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.866715	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670423.967558	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.069412	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.168147	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.274470	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.373325	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.480217	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.583542	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.682813	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.788605	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.891061	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670424.997653	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.094037	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.193288	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.296784	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.393783	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.494639	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.595235	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.695583	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.795280	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670425.902469	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.012599	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.127807	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.228770	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.338762	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.434760	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.535067	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.637515	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.734255	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.835218	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670426.941530	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.048153	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.143499	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.243510	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.342431	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.441825	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.539877	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.648558	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.762782	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.864013	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670427.967410	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.079522	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.196396	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.291118	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.398217	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.496984	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.596652	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.698772	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.799110	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.892237	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670428.989971	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.086381	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.188807	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.288745	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.400051	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.509518	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.623244	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.726696	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.836380	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670429.936085	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.049225	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.150709	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.257226	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.356062	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.458742	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.553915	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.661624	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.758912	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.858863	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670430.954475	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670431.055846	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670431.165733	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670431.272249	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670431.376930	100.000000	100.000000	100.000000	0.000000	0.000000	0
1526670431.491067	100.000000	100.000000	100.000000	0.000000	0.000000	0
