time	d_stereo	d_prop	d_filter	velo	acc	status
1526672067.962026	100.000000	100.000000	89.490964	173.129276	0.000000	0
1526672068.260983	100.000000	100.000000	93.936094	14.869393	0.000000	0
1526672068.491880	100.000000	100.000000	95.825537	8.183627	0.000000	0
1526672068.709645	100.000000	100.000000	96.892429	4.899594	0.000000	0
1526672068.917662	100.000000	100.000000	97.586832	3.338427	0.000000	0
1526672069.136537	100.000000	100.000000	98.078354	2.245841	0.000000	0
1526672069.335473	100.000000	100.000000	98.445358	1.845113	0.000000	0
1526672069.540005	100.000000	100.000000	98.729243	1.388033	0.000000	0
1526672069.767580	100.000000	100.000000	98.954137	0.988335	0.000000	0
1526672070.006583	100.000000	100.000000	99.135229	0.757759	0.000000	0
1526672070.222981	100.000000	100.000000	99.282699	0.681505	0.000000	0
1526672070.431026	100.000000	100.000000	99.403725	0.581776	0.000000	0
1526672070.645287	100.000000	100.000000	99.503586	0.466107	0.000000	0
1526672070.846543	100.000000	100.000000	99.586294	0.410988	0.000000	0
1526672071.055945	100.000000	100.000000	99.654972	0.327998	0.000000	0
1526672071.276463	100.000000	100.000000	99.712105	0.259120	0.000000	0
1526672071.516573	100.000000	100.000000	99.759694	0.198209	0.000000	0
1526672071.737726	100.000000	100.000000	99.799367	0.179403	0.000000	0
1526672071.972491	100.000000	100.000000	99.832463	0.140980	0.000000	0
1526672072.189764	100.000000	100.000000	99.860082	0.127129	0.000000	0
1526672072.405681	100.000000	100.000000	99.883139	0.106792	0.000000	0
1526672072.626364	100.000000	100.000000	99.902390	0.087243	0.000000	0
1526672072.846405	100.000000	100.000000	99.918467	0.073068	0.000000	0
1526672073.065570	100.000000	100.000000	99.931894	0.061268	0.000000	0
1526672073.306698	100.000000	100.000000	99.943109	0.046512	0.000000	0
1526672073.521121	100.000000	100.000000	99.952476	0.043690	0.000000	0
1526672073.731855	100.000000	100.000000	99.960301	0.037135	0.000000	0
1526672073.953852	100.000000	100.000000	99.966837	0.029446	0.000000	0
1526672074.177907	100.000000	100.000000	99.972297	0.024369	0.000000	0
1526672074.389640	100.000000	100.000000	99.976858	0.021543	0.000000	0
1526672074.626340	100.000000	100.000000	99.980668	0.016097	0.000000	0
1526672074.841445	100.000000	100.000000	99.983850	0.014797	0.000000	0
1526672075.060160	100.000000	100.000000	99.986509	0.012157	0.000000	0
1526672075.285953	100.000000	100.000000	99.988730	0.009837	0.000000	0
1526672075.502257	100.000000	100.000000	99.990585	0.008578	0.000000	0
1526672075.725949	100.000000	100.000000	99.992135	0.006929	0.000000	0
1526672075.969609	100.000000	100.000000	99.993430	0.005314	0.000000	0
1526672076.179077	100.000000	100.000000	99.994512	0.005164	0.000000	0
1526672076.402731	100.000000	100.000000	99.995415	0.004040	0.000000	0
1526672076.624003	100.000000	100.000000	99.996170	0.003411	0.000000	0
1526672076.843703	100.000000	100.000000	99.996801	0.002870	0.000000	0
1526672077.061591	100.000000	100.000000	99.997327	0.002418	0.000000	0
1526672077.309615	100.000000	100.000000	99.997767	0.001774	0.000000	0
1526672077.526178	100.000000	100.000000	99.998135	0.001697	0.000000	0
