time	d_stereo	d_prop	d_filter	velo	acc	status
1526670266.553440	100.000000	100.000000	89.490964	193.743698	0.000000	0
1526670266.767235	100.000000	100.000000	93.936094	20.791280	0.000000	0
1526670266.858985	100.000000	100.000000	95.825537	20.594753	0.000000	0
1526670266.951517	100.000000	100.000000	96.892429	11.531115	0.000000	0
1526670267.045211	100.000000	100.000000	97.586832	7.411941	0.000000	0
1526670267.147100	100.000000	100.000000	98.078354	4.824429	0.000000	0
1526670267.240551	100.000000	100.000000	98.445358	3.927484	0.000000	0
1526670267.336033	100.000000	100.000000	98.729243	2.973422	0.000000	0
