time	d_stereo	d_prop	d_filter	velo	acc	status
1526820364.541915	35.000000	35.000000	37.878151	-93.207645	132.119125	2
1526820364.707058	35.000000	35.000000	36.555906	-8.007001	1.015849	2
1526820364.828861	35.000000	35.000000	36.036505	-4.264617	0.292993	1
1526820364.962156	35.000000	35.000000	35.753534	-2.123006	0.073279	1
1526820365.081961	35.000000	35.000000	35.573159	-1.505690	0.037077	1
1526820365.214809	35.000000	35.000000	35.447405	-0.946574	0.000000	0
1526820365.337513	35.000000	35.000000	35.354773	-0.754975	0.000000	0
1526820365.479922	35.000000	35.000000	35.284104	-0.496292	0.000000	0
1526820365.607535	35.000000	35.000000	35.228951	-0.432250	0.000000	0
1526820365.738714	35.000000	35.000000	35.185261	-0.333051	0.000000	0
1526820365.866891	35.000000	35.000000	35.150310	-0.272699	0.000000	0
1526820365.999859	35.000000	35.000000	35.122167	-0.211658	0.000000	0
1526820366.120215	35.000000	35.000000	35.099410	-0.189104	0.000000	0
1526820366.247395	35.000000	35.000000	35.080954	-0.145125	0.000000	0
1526820366.380190	35.000000	35.000000	35.065958	-0.112931	0.000000	0
1526820366.508857	35.000000	35.000000	35.053758	-0.094829	0.000000	0
1526820366.648523	35.000000	35.000000	35.043824	-0.071123	0.000000	0
1526820366.773815	35.000000	35.000000	35.035732	-0.064596	0.000000	0
1526820366.911765	35.000000	35.000000	35.029137	-0.047812	0.000000	0
1526820367.036459	35.000000	35.000000	35.023760	-0.043119	0.000000	0
1526820367.167854	35.000000	35.000000	35.019377	-0.033363	0.000000	0
1526820367.289503	35.000000	35.000000	35.015802	-0.029384	0.000000	0
1526820367.414430	35.000000	35.000000	35.012888	-0.023335	0.000000	0
1526820367.536701	35.000000	35.000000	35.010511	-0.019441	0.000000	0
1526820367.671435	35.000000	35.000000	35.008572	-0.014388	0.000000	0
1526820367.802641	35.000000	35.000000	35.006991	-0.012050	0.000000	0
1526820367.929763	35.000000	35.000000	35.005702	-0.010143	0.000000	0
1526820368.060322	35.000000	35.000000	35.004650	-0.008055	0.000000	0
1526820368.199886	35.000000	35.000000	35.003793	-0.006145	0.000000	0
1526820368.325765	35.000000	35.000000	35.003093	-0.005557	0.000000	0
1526820368.462748	35.000000	35.000000	35.002523	-0.004165	0.000000	0
1526820368.581655	35.000000	35.000000	35.002058	-0.003913	0.000000	0
1526820368.714300	35.000000	35.000000	35.001678	-0.002861	0.000000	0
1526820368.839466	35.000000	35.000000	35.001369	-0.002473	0.000000	0
1526820368.960997	35.000000	35.000000	35.001116	-0.002077	0.000000	0
1526820369.097919	35.000000	35.000000	35.000910	-0.001504	0.000000	0
1526820369.233949	35.000000	35.000000	35.000742	-0.001234	0.000000	0
1526820369.358327	35.000000	35.000000	35.000606	-0.001101	0.000000	0
1526820369.496217	35.000000	35.000000	35.000494	-0.000810	0.000000	0
1526820369.621817	35.000000	35.000000	35.000403	-0.000725	0.000000	0
1526820369.754448	35.000000	35.000000	35.000329	-0.000560	0.000000	0
1526820369.880295	35.000000	35.000000	35.000268	-0.000481	0.000000	0
1526820370.013330	35.000000	35.000000	35.000219	-0.000371	0.000000	0
1526820370.140341	35.000000	35.000000	35.000178	-0.000317	0.000000	0
1526820370.266272	35.000000	35.000000	35.000145	-0.000261	0.000000	0
1526820370.394204	35.000000	35.000000	35.000119	-0.000210	0.000000	0
1526820370.525619	35.000000	35.000000	35.000097	-0.000166	0.000000	0
1526820370.647808	35.000000	35.000000	35.000079	-0.000146	0.000000	0
1526820370.783585	35.000000	35.000000	35.000064	-0.000107	0.000000	0
1526820370.914285	35.000000	35.000000	35.000052	-0.000091	0.000000	0
1526820371.046055	35.000000	35.000000	35.000043	-0.000073	0.000000	0
1526820371.173919	35.000000	35.000000	35.000035	-0.000062	0.000000	0
1526820371.306156	35.000000	35.000000	35.000028	-0.000049	0.000000	0
1526820371.434269	35.000000	35.000000	35.000023	-0.000041	0.000000	0
1526820371.568888	35.000000	35.000000	35.000019	-0.000032	0.000000	0
1526820371.691258	35.000000	35.000000	35.000015	-0.000029	0.000000	0
1526820371.820990	35.000000	35.000000	35.000013	-0.000022	0.000000	0
1526820371.951182	35.000000	35.000000	35.000010	-0.000018	0.000000	0
1526820372.081506	35.000000	35.000000	35.000008	-0.000015	0.000000	0
1526820372.211242	35.000000	35.000000	35.000007	-0.000012	0.000000	0
1526820372.348702	35.000000	35.000000	35.000006	-0.000009	0.000000	0
