time	d_stereo	d_prop	d_filter	velo	acc	status
1526822396.815782	5.669460	5.144664	7.531729	-115.933105	2654.408291	2
1526822397.287271	5.122606	5.159978	6.342595	-2.522055	2.368832	2
1526822397.641672	5.669460	5.144664	6.090494	-0.711321	0.000000	0
1526822397.991710	5.676167	5.238133	5.965355	-0.357514	0.000000	0
1526822398.327333	5.659469	5.144664	5.882239	-0.247656	0.000000	0
1526822398.696974	5.669460	5.238133	5.829418	-0.142905	0.000000	0
1526822399.036869	5.676167	5.286334	5.792917	-0.107396	0.000000	0
1526822399.380180	5.682910	5.238133	5.764913	-0.081575	0.000000	0
1526822399.751113	4.954220	5.222288	5.640998	-0.334072	0.000000	0
1526822400.111367	5.676167	5.175397	5.636578	-0.012269	0.000000	0
1526822400.448129	5.669460	5.238133	5.633263	-0.009843	0.000000	0
1526822400.786322	5.669460	5.286334	5.631403	-0.005501	0.000000	0
1526822401.141400	5.662790	5.368947	5.630520	-0.002486	0.000000	0
1526822401.472267	5.672809	5.286334	5.629516	-0.003035	0.000000	0
1526822401.810591	5.672809	5.238133	5.627794	-0.005091	0.000000	0
1526822402.151570	5.659469	5.114344	5.622474	-0.015601	0.000000	0
1526822402.514876	5.666121	5.238133	5.620940	-0.004225	0.000000	0
1526822402.858119	5.604342	5.190920	5.611287	-0.028122	0.000000	0
1526822403.266737	5.662790	5.206550	5.610352	-0.002290	0.000000	0
1526822403.624459	5.604342	5.270155	5.603611	-0.018844	0.000000	0
1526822403.969218	5.610699	5.222288	5.597734	-0.017049	0.000000	0
1526822404.294213	5.752412	22.914269	5.921755	0.997010	0.000000	0
1526822404.622876	5.666121	5.286334	5.879779	-0.127730	0.000000	0
1526822404.977977	5.662790	5.144664	5.840722	-0.109990	0.000000	0
1526822405.358292	5.669460	5.222288	5.809237	-0.082791	0.000000	0
1526822405.695255	5.666121	5.159978	5.780604	-0.084978	0.000000	0
1526822406.047243	5.666121	5.222288	5.757019	-0.067005	0.000000	0
1526822406.391862	5.669460	5.190920	5.736539	-0.059434	0.000000	0
1526822406.736326	5.666121	5.222288	5.719032	-0.050825	0.000000	0
1526822407.085781	5.607516	5.238133	5.697176	-0.062546	0.000000	0
1526822407.440356	5.676167	5.222288	5.686301	-0.030671	0.000000	0
1526822407.789975	5.669460	5.238133	5.676398	-0.028327	0.000000	0
1526822408.124434	5.194114	5.238133	5.610751	-0.196286	0.000000	0
1526822408.459952	5.669460	5.175397	5.610150	-0.001792	0.000000	0
1526822408.815686	5.672809	5.222288	5.610858	0.001991	0.000000	0
1526822409.187039	5.666121	5.286334	5.611792	0.002513	0.000000	0
1526822409.567353	5.662790	5.286334	5.612196	0.001064	0.000000	0
1526822409.938190	5.662790	8.539619	5.669739	0.155175	0.000000	0
1526822410.283490	5.666121	5.069619	5.658754	-0.031814	0.000000	0
1526822410.622203	5.676167	5.222288	5.653173	-0.016480	0.000000	0
1526822410.975670	5.792322	8.139541	5.713599	0.170957	0.000000	0
1526822411.344176	5.682910	5.286334	5.702401	-0.030389	0.000000	0
1526822411.744094	5.676167	5.286334	5.691935	-0.026171	0.000000	0
