time	d_stereo	d_prop	d_filter	velo	acc	status
1526670277.774875	100.000000	100.000000	89.490964	373.373577	0.000000	0
1526670277.915759	100.000000	100.000000	93.936094	31.553481	0.000000	0
1526670278.017557	100.000000	100.000000	95.825537	18.561793	0.000000	0
1526670278.110042	100.000000	100.000000	96.892429	11.536852	0.000000	0
1526670278.206543	100.000000	100.000000	97.586832	7.196336	0.000000	0
1526670278.309210	100.000000	100.000000	98.078354	4.787859	0.000000	0
1526670278.401012	100.000000	100.000000	98.445358	3.998042	0.000000	0
1526670278.493502	100.000000	100.000000	98.729243	3.069584	0.000000	0
1526670278.585210	100.000000	100.000000	98.954137	2.452468	0.000000	0
1526670278.674500	100.000000	100.000000	99.135229	2.028274	0.000000	0
1526670278.763347	100.000000	100.000000	99.282699	1.659963	0.000000	0
1526670278.857789	100.000000	100.000000	99.403725	1.281584	0.000000	0
1526670278.951929	100.000000	100.000000	99.503586	1.060879	0.000000	0
1526670279.045482	100.000000	100.000000	99.586294	0.884118	0.000000	0
1526670279.137729	100.000000	100.000000	99.654972	0.744573	0.000000	0
1526670279.229405	100.000000	100.000000	99.712105	0.623255	0.000000	0
1526670279.319252	100.000000	100.000000	99.759694	0.529709	0.000000	0
1526670279.409593	100.000000	100.000000	99.799367	0.439186	0.000000	0
1526670279.501570	100.000000	100.000000	99.832463	0.359847	0.000000	0
1526670279.601997	100.000000	100.000000	99.860082	0.275042	0.000000	0
1526670279.692442	100.000000	100.000000	99.883139	0.254944	0.000000	0
1526670279.790588	100.000000	100.000000	99.902390	0.196169	0.000000	0
1526670279.881674	100.000000	100.000000	99.918467	0.176515	0.000000	0
1526670279.979738	100.000000	100.000000	99.931894	0.136932	0.000000	0
1526670280.069564	100.000000	100.000000	99.943109	0.124857	0.000000	0
1526670280.160532	100.000000	100.000000	99.952476	0.102982	0.000000	0
1526670280.252100	100.000000	100.000000	99.960301	0.085460	0.000000	0
1526670280.343088	100.000000	100.000000	99.966837	0.071840	0.000000	0
1526670280.437352	100.000000	100.000000	99.972297	0.057926	0.000000	0
1526670280.528325	100.000000	100.000000	99.976858	0.050139	0.000000	0
1526670280.619742	100.000000	100.000000	99.980668	0.041680	0.000000	0
1526670280.709554	100.000000	100.000000	99.983850	0.035440	0.000000	0
1526670280.801858	100.000000	100.000000	99.986509	0.028806	0.000000	0
1526670280.892899	100.000000	100.000000	99.988730	0.024398	0.000000	0
1526670280.982771	100.000000	100.000000	99.990585	0.020646	0.000000	0
1526670281.073616	100.000000	100.000000	99.992135	0.017062	0.000000	0
1526670281.165567	100.000000	100.000000	99.993430	0.014083	0.000000	0
1526670281.267273	100.000000	100.000000	99.994512	0.010635	0.000000	0
1526670281.365197	100.000000	100.000000	99.995415	0.009228	0.000000	0
1526670281.469115	100.000000	100.000000	99.996170	0.007264	0.000000	0
1526670281.564689	100.000000	100.000000	99.996801	0.006598	0.000000	0
1526670281.665817	100.000000	100.000000	99.997327	0.005209	0.000000	0
1526670281.760192	100.000000	100.000000	99.997767	0.004663	0.000000	0
1526670281.860868	100.000000	100.000000	99.998135	0.003651	0.000000	0
1526670281.952565	100.000000	100.000000	99.998442	0.003349	0.000000	0
